ID,"Score Date (GMT)",Timestep,Likes,"Average Likes",Comments,"Average Comments",Shares,"Avg Shares",Loves,"Avg Loves",Wows,"Avg Wows",Hahas,"Avg Hahas",Sads,"Avg Sads",Angrys,"Avg Angrys",Cares,"Avg Cares",Reactions,"Avg Reactions","Post Views","Avg Post Views","Total Views","Avg Total Views","Total Views for all Crossposts","Avg Total Views for all Crossposts","Views While Live","Avg Views While Live","Overperforming(+)/Underperforming(-) Score","Post Date (GMT)","2021-12-26 03:45:13",https://www.facebook.com/DailyProthomAlo/posts/5408023202564055
"5408023202564055	","2021-12-26 06:52:07",9,3986,509,372,12,181,6,69,7,14,2,782,8,59,41,11,4,5,2,4926,575,0,0,0,0,0,0,0,0,9.3x,,,
"5408023202564055	","2021-12-26 06:34:15",8,3637,492,339,12,162,6,64,7,12,2,725,8,54,39,10,4,5,2,4507,555,0,0,0,0,0,0,0,0,8.8x,,,
"5408023202564055	","2021-12-26 05:57:45",7,2809,442,269,11,131,6,46,6,9,2,591,8,40,37,9,4,4,2,3508,503,0,0,0,0,0,0,0,0,7.5x,,,
"5408023202564055	","2021-12-26 05:39:46",6,2516,402,256,11,116,5,38,6,8,2,542,8,38,34,8,4,4,2,3154,454,0,0,0,0,0,0,0,0,7.4x,,,
"5408023202564055	","2021-12-26 05:03:44",5,1980,402,212,11,99,5,25,5,8,2,446,8,30,34,7,4,4,2,2500,454,0,0,0,0,0,0,0,0,5.9x,,,
"5408023202564055	","2021-12-26 04:45:46",4,1746,350,194,11,90,5,24,5,6,2,386,7,24,34,7,3,4,2,2197,407,0,0,0,0,0,0,0,0,5.9x,,,
"5408023202564055	","2021-12-26 04:27:47",2,1468,270,163,9,76,5,19,5,5,2,317,6,23,23,6,3,4,2,1842,310,0,0,0,0,0,0,0,0,6.4x,,,
"5408023202564055	","2021-12-26 04:09:45",1,1099,201,115,7,48,3,17,4,3,2,238,6,18,18,6,3,3,2,1384,224,0,0,0,0,0,0,0,0,6.3x,,,
"5408023202564055	","2021-12-26 03:51:45",0,330,84,33,5,6,3,3,4,0,2,61,5,6,9,2,3,1,1,403,94,0,0,0,0,0,0,0,0,3.8x,,,
